主题,单词,中文释义,词组/搭配
基础形容词,strong,强壮的；坚固的,a strong man
基础形容词,weak,虚弱的；差的,a weak team
基础形容词,full,满的；饱的,be full of
基础形容词,empty,空的,an empty room
基础形容词,ready,准备好的,be ready for
基础形容词,alive,活着的,stay alive
基础形容词,dead,死的,a dead flower
基础形容词,open,开着的；开放的,keep open
基础形容词,closed,关闭的,be closed
基础形容词,free,免费的；自由的,free time
基础形容词,busy,忙的,a busy day
基础形容词,happy,开心的,be happy with
基础形容词,sad,伤心的,feel sad
基础形容词,angry,生气的,be angry with
基础形容词,tired,疲倦的,be tired of
基础形容词,surprised,惊讶的,be surprised at
基础形容词,hot,热的,hot weather
基础形容词,cold,冷的；寒冷的,cold water
基础形容词,warm,暖和的,warm welcome
基础形容词,cool,凉爽的；酷的,cool idea
基础形容词,wet,湿的,wet clothes
基础形容词,dry,干的,dry weather
基础形容词,quiet,安静的,keep quiet
基础形容词,loud,大声的,too loud
基础形容词,calm,平静的；镇定的,stay calm
基础形容词,noisy,嘈杂的,a noisy street
基础形容词,clear,清楚的；晴朗的,clear sky
基础形容词,bright,明亮的；鲜艳的,bright color
基础形容词,dark,黑暗的；暗的,dark night
基础形容词,strange,奇怪的,a strange man
基础形容词,common,普通的；常见的,a common name
基础形容词,special,特别的；特殊的,special day
基础形容词,same,相同的,the same as
基础形容词,different,不同的,be different from
基础形容词,similar,相似的,be similar to
基础形容词,alone,独自的,live alone
基础形容词,together,一起的,work together
情感与感受,happy,开心的,be happy
情感与感受,glad,高兴的,be glad to do
情感与感受,pleased,高兴的,be pleased with
情感与感受,excited,兴奋的,be excited about
情感与感受,sad,伤心的,feel sad
情感与感受,angry,生气的,be angry with
情感与感受,surprised,惊讶的,be surprised at
情感与感受,scared,害怕的,be scared of
情感与感受,afraid,害怕的,be afraid of
情感与感受,worried,担忧的,be worried about
情感与感受,anxious,焦虑的,feel anxious
情感与感受,nervous,紧张的,be nervous about
情感与感受,upset,沮丧的,be upset with
情感与感受,disappointed,失望的,be disappointed in
情感与感受,frustrated,挫败的,feel frustrated
情感与感受,proud,自豪的,be proud of
情感与感受,embarrassed,尴尬的,feel embarrassed
情感与感受,jealous,嫉妒的,be jealous of
情感与感受,lonely,孤独的,feel lonely
情感与感受,bored,无聊的,be bored with
情感与感受,tired,疲倦的,feel tired
情感与感受,relaxed,放松的,feel relaxed
情感与感受,stressed,有压力的,be stressed out
情感与感受,calm,平静的,stay calm
情感与感受,confident,自信的,be confident in
情感与感受,kind,善良的,a kind man
情感与感受,friendly,友好的,be friendly to
情感与感受,polite,礼貌的,be polite to
情感与感受,rude,粗鲁的,don't be rude
情感与感受,patient,有耐心的,be patient with
情感与感受,honest,诚实的,be honest with
情感与感受,brave,勇敢的,a brave boy
情感与感受,shy,害羞的,be shy of
情感与感受,smart,聪明的,smart idea
情感与感受,clever,聪明的,a clever answer
情感与感受,stupid,愚蠢的,stupid mistake
情感与感受,foolish,愚蠢的,feel foolish
情感与感受,ashamed,羞愧的,feel ashamed
情感与感受,grateful,感激的,be grateful to
情感与感受,thankful,感谢的,be thankful for
情感与感受,like,喜欢,like doing
情感与感受,enjoy,享受；喜爱,enjoy doing
情感与感受,hate,厌恶；恨,hate to do
情感与感受,miss,想念,miss you
情感与感受,prefer,更喜欢,prefer ... to ...
情感与感受,smile,微笑,smile at
情感与感受,laugh,笑,laugh at
情感与感受,cry,哭,cry for
情感与感受,sigh,叹气,sigh with
情感与感受,friendship,友谊,strong friendship
情感与感受,love,爱,fell in love
情感与感受,trust,信任,trust in
情感与感受,respect,尊敬,respect ... for
情感与感受,feeling,感觉；感受,express feeling
情感与感受,emotion,情感；情绪,show emotion
情感与感受,mood,心情,in a good mood
情感与感受,kindness,善良,act with kindness
情感与感受,honesty,诚实,Honesty is the best policy
情感与感受,bravery,勇敢,a man of bravery
情感与感受,passion,激情；热情,full of passion
情感与感受,confident,自信的,feel confident
情感与感受,passion,激情；热情,full of passion
情感与感受,confident,自信的,feel confident
