日期,类型,主题,新词序号,单词,中文,词组
Day 3,新词,时间与日期,6,today,今天,
Day 3,新词,时间与日期,7,tomorrow,明天,
Day 3,新词,时间与日期,8,yesterday,昨天,
Day 3,新词,时间与日期,9,morning,早上,in the morning
Day 3,新词,时间与日期,10,afternoon,下午,in the afternoon
Day 3,新词,时间与日期,11,evening,晚上,in the evening
Day 3,新词,时间与日期,12,night,夜晚,at night
Day 4,新词,时间与日期,13,hour,小时,half an hour
Day 4,新词,时间与日期,14,minute,分钟,in a minute
Day 4,新词,时间与日期,15,second,秒,
Day 4,新词,时间与日期,16,Monday,星期一,
Day 4,新词,时间与日期,17,Tuesday,星期二,
Day 4,新词,时间与日期,18,Wednesday,星期三,
Day 4,新词,时间与日期,19,Thursday,星期四,
Day 4,新词,时间与日期,20,Friday,星期五,
Day 4,新词,时间与日期,21,now,现在,right now
Day 4,新词,时间与日期,22,later,之后,see you later
Day 4,新词,食物与饮料,1,food,食物,fast food 快餐
Day 4,新词,食物与饮料,2,water,水,drink water
Day 4,新词,食物与饮料,3,rice,米饭；米,a bowl of rice
Day 4,新词,食物与饮料,4,bread,面包,a piece of bread
Day 4,新词,食物与饮料,5,egg,鸡蛋；蛋,have an egg
Day 4,新词,食物与饮料,6,milk,牛奶,a glass of milk
Day 4,新词,食物与饮料,7,tea,茶,have tea
Day 4,新词,食物与饮料,8,coffee,咖啡,black coffee
Day 4,新词,食物与饮料,9,juice,果汁,orange juice
Day 4,新词,食物与饮料,10,meat,肉,
Day 4,新词,食物与饮料,11,fish,鱼；鱼肉,
Day 4,新词,食物与饮料,12,chicken,鸡；鸡肉,
Day 4,新词,食物与饮料,13,fruit,水果,fresh fruit
Day 4,新词,食物与饮料,14,apple,苹果,an apple a day
Day 4,新词,食物与饮料,15,banana,香蕉,
Day 5,新词,食物与饮料,16,orange,橙子；橙色的,
Day 5,新词,食物与饮料,17,vegetable,蔬菜,green vegetables
Day 5,新词,食物与饮料,18,cake,蛋糕, birthday cake
Day 5,新词,食物与饮料,19,sugar,糖,
Day 5,新词,食物与饮料,20,salt,盐,
Day 5,新词,动作与状态,1,go,去；走,go to school
Day 5,新词,动作与状态,2,come,来,come here
Day 5,新词,动作与状态,3,take,拿；带；花费,take a photo
Day 5,新词,动作与状态,4,bring,带来,bring ... to ...
Day 5,新词,动作与状态,5,get,得到；到达；变得,get up 起床
Day 5,新词,动作与状态,6,put,放,put on 穿上
Day 5,新词,动作与状态,7,give,给,give ... to ...
Day 5,新词,动作与状态,8,send,发送；寄,send an email
Day 5,新词,动作与状态,9,carry,携带,carry a bag
Day 5,新词,动作与状态,10,walk,走；散步,walk to school
Day 5,新词,动作与状态,11,run,跑,run fast
Day 5,新词,动作与状态,12,jump,跳,jump high
Day 5,新词,动作与状态,13,sit,坐,sit down
Day 5,新词,动作与状态,14,stand,站；站立,stand up
Day 5,新词,动作与状态,15,lie,躺；位于,lie down
Day 5,新词,动作与状态,16,hold,握住；持有,hold on 等一下
Day 5,新词,动作与状态,17,catch,抓住；接住,catch a ball
Day 5,新词,动作与状态,18,throw,扔；投,throw away
Day 5,新词,动作与状态,19,push,推,push a door
Day 5,新词,动作与状态,20,pull,拉,pull open
Day 6,复习,家庭与人物复习,—,—,复习 20 词,看英文说中文
Day 6,复习,学校与学习复习,—,—,复习 21 词,看英文说中文
Day 6,复习,日常生活复习,—,—,复习 22 词,看英文说中文
Day 6,复习,时间与日期复习,—,—,复习 22 词,看英文说中文
Day 6,复习,食物与饮料复习,—,—,复习 20 词,看英文说中文
Day 6,复习,动作与状态复习,—,—,复习 20 词,看英文说中文
Day 6,复习,模糊词回炉,—,"用户标""模糊""词",逐个过,只过不熟的
Day 6,复习,易混词辨析,—,本周期易混词 1,辨析,形近/义近对比
Day 6,复习,易混词辨析,—,本周期易混词 2,辨析,形近/义近对比
Day 6,复习,听写测试,—,本周期 125 词,听写,家长报中文孩子写英文
Day 7,休息,—,—,—,休息,—
Day 8,新词,动作与状态,21,lift,举起；抬起,lift up
Day 8,新词,动作与状态,22,drop,掉落；掉下,drop out 退出
Day 8,新词,动作与状态,23,look,看,look at
Day 8,新词,动作与状态,24,see,看见,see a movie
Day 8,新词,动作与状态,25,watch,观看,watch TV
Day 8,新词,动作与状态,26,hear,听见,hear from 收到……来信
Day 8,新词,动作与状态,27,listen,听,listen to
Day 8,新词,动作与状态,28,say,说,he/she says
Day 8,新词,动作与状态,29,tell,告诉,tell a story
Day 8,新词,动作与状态,30,speak,说话；讲,speak English
Day 8,新词,动作与状态,31,talk,谈话；交谈,talk to/with
Day 8,新词,动作与状态,32,work,工作,work hard
Day 8,新词,动作与状态,33,play,玩；演奏,play games
Day 8,新词,动作与状态,34,help,帮助,help with
Day 8,新词,动作与状态,35,try,尝试,try to do
Day 8,新词,动作与状态,36,practice,练习,practice English
Day 8,新词,动作与状态,37,think,想；认为,think about
Day 8,新词,动作与状态,38,know,知道；认识,know about
Day 8,新词,动作与状态,39,understand,理解,understand why
Day 8,新词,动作与状态,40,remember,记住,remember to do
Day 8,新词,动作与状态,41,forget,忘记,forget to do
Day 8,新词,动作与状态,42,decide,决定,decide to do
Day 8,新词,动作与状态,43,choose,选择,choose from
Day 8,新词,动作与状态,44,make,做；制作,make a cake
Day 8,新词,动作与状态,45,do,做,do homework
Day 9,新词,动作与状态,46,build,建造；建立,build a house
Day 9,新词,动作与状态,47,draw,画；绘制,draw a picture
Day 9,新词,动作与状态,48,change,改变；变化,change one's mind
Day 9,新词,动作与状态,49,become,变得；成为,become famous
Day 9,新词,动作与状态,50,turn,转动；变成,turn on/off
Day 9,新词,动作与状态,51,grow,成长；种植,grow up
Day 9,新词,动作与状态,52,start,开始,start to do
Day 9,新词,动作与状态,53,begin,开始,begin with
Day 9,新词,动作与状态,54,end,结束；结尾,at the end of
Day 9,新词,动作与状态,55,finish,完成,finish doing
Day 9,新词,动作与状态,56,stop,停止,stop doing
Day 9,新词,动作与状态,57,continue,继续,continue to do
Day 9,新词,动作与状态,58,wait,等待,wait for
Day 9,新词,动作与状态,59,move,移动；搬家,move to
Day 9,新词,动作与状态,60,travel,旅行,travel around
Day 9,新词,动作与状态,61,leave,离开；留下,leave for
Day 9,新词,动作与状态,62,arrive,到达,arrive at/in
Day 9,新词,动作与状态,63,return,返回；归还,return to
Day 9,新词,动作与状态,64,meet,遇见；见面,meet friends
Day 9,新词,动作与状态,65,visit,拜访；参观,visit a museum
Day 9,新词,动作与状态,66,call,打电话；称呼,call ... up
Day 9,新词,动作与状态,67,invite,邀请,invite ... to ...
Day 9,新词,动作与状态,68,welcome,欢迎,welcome to
Day 9,新词,动作与状态,69,rest,休息,have a rest
Day 9,新词,动作与状态,70,relax,放松,relax oneself
Day 10,新词,动作与状态,71,enjoy,享受；喜爱,enjoy doing
Day 10,新词,动作与状态,72,want,想要,want to do
Day 10,新词,动作与状态,73,need,需要,need to do
Day 10,新词,动作与状态,74,hope,希望,hope to do
Day 10,新词,动作与状态,75,open,打开,open the door
Day 10,新词,动作与状态,76,close,关闭,close the window
Day 10,新词,动作与状态,77,lock,锁上,lock the door
Day 10,新词,动作与状态,78,buy,买,buy ... for ...
Day 10,新词,动作与状态,79,sell,卖,sell ... to ...
Day 10,新词,动作与状态,80,pay,付钱,pay for
Day 10,新词,动作与状态,81,cost,花费（钱）,cost much
Day 10,新词,动作与状态,82,spend,花费（时间/钱）,spend time on
Day 10,新词,动作与状态,83,save,节省；存,save money
Day 10,新词,动作与状态,84,prepare,准备,prepare for
Day 10,新词,动作与状态,85,clean,打扫；清洁,clean the room
Day 10,新词,动作与状态,86,wash,洗,wash hands
Day 10,新词,动作与状态,87,tidy,整理,tidy up
Day 10,新词,动作与状态,88,fix,修理,fix a bike
Day 10,新词,动作与状态,89,repair,修补,repair the road
Day 10,新词,动作与状态,90,break,打破；损坏,break down
Day 10,新词,动作与状态,91,lose,丢失；输,lose one's way
Day 10,新词,动作与状态,92,find,找到,find out
Day 10,新词,动作与状态,93,agree,同意,agree with
Day 10,新词,动作与状态,94,believe,相信,believe in
Day 10,新词,动作与状态,95,realize,意识到,realize that
Day 11,新词,动作与状态,96,search,搜索,search for
Day 11,新词,动作与状态,97,discover,发现,discover a new world
Day 11,新词,动作与状态,98,succeed,成功,succeed in
Day 11,新词,动作与状态,99,fail,失败,fail to do
Day 11,新词,动作与状态,100,win,赢,win the game
Day 11,新词,动作与状态,101,beat,打败,beat ... in
Day 11,新词,动作与状态,102,follow,跟随；遵守,follow the rule
Day 11,新词,动作与状态,103,lead,带领,lead to 导致
Day 11,新词,动作与状态,104,join,加入,join the club
Day 11,新词,动作与状态,105,connect,连接,connect ... with ...
Day 11,新词,动作与状态,106,separate,分开；分离,separate from
Day 11,新词,动作与状态,107,copy,复制；抄写,copy down
Day 11,新词,动作与状态,108,repeat,重复,repeat after
Day 11,新词,动作与状态,109,press,按；压,press the button
Day 11,新词,动作与状态,110,touch,触摸,touch on
Day 11,新词,动作与状态,111,feel,感觉；触摸,feel like
Day 11,新词,动作与状态,112,smell,闻；气味,smell nice
Day 11,新词,动作与状态,113,taste,品尝；味道,taste good
Day 11,新词,动作与状态,114,show,展示；表明,show ... to ...
Day 11,新词,动作与状态,115,mean,意思是；意味着,mean to do
Day 11,新词,动作与状态,116,suggest,建议,suggest doing
Day 11,新词,动作与状态,117,explain,解释,explain ... to ...
Day 11,新词,动作与状态,118,accept,接受,accept ... as ...
Day 11,新词,动作与状态,119,refuse,拒绝,refuse to do
Day 11,新词,动作与状态,120,allow,允许,allow ... to do
Day 12,新词,动作与状态,121,share,分享,share ... with ...
Day 12,新词,动作与状态,122,borrow,借入,borrow ... from ...
Day 12,新词,动作与状态,123,lend,借出,lend ... to ...
Day 12,新词,基础形容词,1,big,大的,a big house
Day 12,新词,基础形容词,2,small,小的,a small dog
Day 12,新词,基础形容词,3,large,大的；巨大的,a large number of
Day 12,新词,基础形容词,4,tiny,极小的,a tiny insect
Day 12,新词,基础形容词,5,long,长的；久的,long time
Day 12,新词,基础形容词,6,short,短的；矮的,a short time
Day 12,新词,基础形容词,7,tall,高的,a tall man
Day 12,新词,基础形容词,8,high,高的；高级的,high school
Day 12,新词,基础形容词,9,low,低的；矮的,low price
Day 12,新词,基础形容词,10,wide,宽的；广泛的,a wide road
Day 12,新词,基础形容词,11,narrow,狭窄的,a narrow path
Day 12,新词,基础形容词,12,deep,深的,deep water
Day 12,新词,基础形容词,13,shallow,浅的,shallow water
Day 12,新词,基础形容词,14,thick,厚的；浓的,thick book
Day 12,新词,基础形容词,15,thin,薄的；瘦的,thin paper
Day 12,新词,基础形容词,16,heavy,重的,a heavy box
Day 12,新词,基础形容词,17,light,轻的；浅色的,light blue
Day 12,新词,基础形容词,18,fast,快的,a fast car
Day 12,新词,基础形容词,19,slow,慢的,a slow walk
Day 12,新词,基础形容词,20,quick,快的；敏捷的,quick lunch
Day 12,新词,基础形容词,21,early,早的；早期的,early morning
Day 12,新词,基础形容词,22,late,迟的；晚的,be late
Day 13,复习,动作与状态复习,—,—,复习 103 词,看英文说中文
Day 13,复习,基础形容词复习,—,—,复习 22 词,看英文说中文
Day 13,复习,模糊词回炉,—,"用户标""模糊""词",逐个过,只过不熟的
Day 13,复习,易混词辨析,—,本周期易混词 1,辨析,形近/义近对比
Day 13,复习,易混词辨析,—,本周期易混词 2,辨析,形近/义近对比
Day 13,复习,听写测试,—,本周期 125 词,听写,家长报中文孩子写英文
Day 14,休息,—,—,—,休息,—
Day 15,新词,基础形容词,23,good,好的,a good idea
Day 15,新词,基础形容词,24,bad,坏的；糟糕的,a bad day
Day 15,新词,基础形容词,25,nice,好的；令人愉快的,nice to meet you
Day 15,新词,基础形容词,26,great,很棒的；伟大的,great fun
Day 15,新词,基础形容词,27,excellent,极好的,excellent job
Day 15,新词,基础形容词,28,wonderful,极好的,wonderful time
Day 15,新词,基础形容词,29,perfect,完美的,perfect answer
Day 15,新词,基础形容词,30,terrible,糟糕的；可怕的,terrible accident
Day 15,新词,基础形容词,31,awful,糟糕的,awful weather
Day 15,新词,基础形容词,32,fine,好的；健康的,I am fine
Day 15,新词,基础形容词,33,new,新的,a new book
Day 15,新词,基础形容词,34,old,旧的；老的,an old man
Day 15,新词,基础形容词,35,young,年轻的,young people
Day 15,新词,基础形容词,36,fresh,新鲜的；新做的,fresh fruit
Day 15,新词,基础形容词,37,clean,干净的；清洁的,clean water
Day 15,新词,基础形容词,38,dirty,脏的,dirty hands
Day 15,新词,基础形容词,39,beautiful,美丽的,a beautiful girl
Day 15,新词,基础形容词,40,pretty,漂亮的,a pretty dress
Day 15,新词,基础形容词,41,ugly,丑陋的,an ugly duck
Day 15,新词,基础形容词,42,cute,可爱的,a cute baby
Day 15,新词,基础形容词,43,lovely,可爱的；令人愉快的,a lovely day
Day 15,新词,基础形容词,44,interesting,有趣的,an interesting book
Day 15,新词,基础形容词,45,boring,无聊的；乏味的,a boring film
Day 15,新词,基础形容词,46,exciting,令人兴奋的,exciting news
Day 15,新词,基础形容词,47,funny,滑稽的；有趣的,a funny story
Day 16,新词,基础形容词,48,difficult,困难的,a difficult question
Day 16,新词,基础形容词,49,easy,容易的,an easy job
Day 16,新词,基础形容词,50,simple,简单的,simple English
Day 16,新词,基础形容词,51,hard,困难的；硬的,a hard life
Day 16,新词,基础形容词,52,soft,软的,soft voice
Day 16,新词,基础形容词,53,important,重要的,important meeting
Day 16,新词,基础形容词,54,necessary,必要的,if necessary
Day 16,新词,基础形容词,55,useful,有用的,a useful tool
Day 16,新词,基础形容词,56,useless,无用的,a useless idea
Day 16,新词,基础形容词,57,right,正确的；对的,the right answer
Day 16,新词,基础形容词,58,wrong,错误的；错的,a wrong answer
Day 16,新词,基础形容词,59,true,真的；真实的,a true story
Day 16,新词,基础形容词,60,false,假的,false news
Day 16,新词,基础形容词,61,real,真实的,real life
Day 16,新词,基础形容词,62,sure,确信的,be sure of
Day 16,新词,基础形容词,63,certain,肯定的,be certain of
Day 16,新词,基础形容词,64,safe,安全的,be safe
Day 16,新词,基础形容词,65,dangerous,危险的,a dangerous animal
Day 16,新词,基础形容词,66,possible,可能的,if possible
Day 16,新词,基础形容词,67,impossible,不可能的,an impossible task
Day 16,新词,基础形容词,68,rich,富有的,rich in 富含
Day 16,新词,基础形容词,69,poor,贫穷的；可怜的,a poor family
Day 16,新词,基础形容词,70,expensive,昂贵的,an expensive car
Day 16,新词,基础形容词,71,cheap,便宜的,a cheap hotel
Day 16,新词,基础形容词,72,strong,强壮的；坚固的,a strong man
Day 17,新词,基础形容词,73,weak,虚弱的；差的,a weak team
Day 17,新词,基础形容词,74,full,满的；饱的,be full of
Day 17,新词,基础形容词,75,empty,空的,an empty room
Day 17,新词,基础形容词,76,ready,准备好的,be ready for
Day 17,新词,基础形容词,77,alive,活着的,stay alive
Day 17,新词,基础形容词,78,dead,死的,a dead flower
Day 17,新词,基础形容词,79,open,开着的；开放的,keep open
Day 17,新词,基础形容词,80,closed,关闭的,be closed
Day 17,新词,基础形容词,81,free,免费的；自由的,free time
Day 17,新词,基础形容词,82,busy,忙的,a busy day
Day 17,新词,基础形容词,83,happy,开心的,be happy with
Day 17,新词,基础形容词,84,sad,伤心的,feel sad
Day 17,新词,基础形容词,85,angry,生气的,be angry with
Day 17,新词,基础形容词,86,tired,疲倦的,be tired of
Day 17,新词,基础形容词,87,surprised,惊讶的,be surprised at
Day 17,新词,基础形容词,88,hot,热的,hot weather
Day 17,新词,基础形容词,89,cold,冷的；寒冷的,cold water
Day 17,新词,基础形容词,90,warm,暖和的,warm welcome
Day 17,新词,基础形容词,91,cool,凉爽的；酷的,cool idea
Day 17,新词,基础形容词,92,wet,湿的,wet clothes
Day 17,新词,基础形容词,93,dry,干的,dry weather
Day 17,新词,基础形容词,94,quiet,安静的,keep quiet
Day 17,新词,基础形容词,95,loud,大声的,too loud
Day 17,新词,基础形容词,96,calm,平静的；镇定的,stay calm
Day 17,新词,基础形容词,97,noisy,嘈杂的,a noisy street
Day 18,新词,基础形容词,98,clear,清楚的；晴朗的,clear sky
Day 18,新词,基础形容词,99,bright,明亮的；鲜艳的,bright color
Day 18,新词,基础形容词,100,dark,黑暗的；暗的,dark night
Day 18,新词,基础形容词,101,strange,奇怪的,a strange man
Day 18,新词,基础形容词,102,common,普通的；常见的,a common name
Day 18,新词,基础形容词,103,special,特别的；特殊的,special day
Day 18,新词,基础形容词,104,same,相同的,the same as
Day 18,新词,基础形容词,105,different,不同的,be different from
Day 18,新词,基础形容词,106,similar,相似的,be similar to
Day 18,新词,基础形容词,107,alone,独自的,live alone
Day 18,新词,基础形容词,108,together,一起的,work together
Day 18,新词,情感与感受,1,happy,开心的,be happy
Day 18,新词,情感与感受,2,glad,高兴的,be glad to do
Day 18,新词,情感与感受,3,pleased,高兴的,be pleased with
Day 18,新词,情感与感受,4,excited,兴奋的,be excited about
Day 18,新词,情感与感受,5,sad,伤心的,feel sad
Day 18,新词,情感与感受,6,angry,生气的,be angry with
Day 18,新词,情感与感受,7,surprised,惊讶的,be surprised at
Day 18,新词,情感与感受,8,scared,害怕的,be scared of
Day 18,新词,情感与感受,9,afraid,害怕的,be afraid of
Day 18,新词,情感与感受,10,worried,担忧的,be worried about
Day 18,新词,情感与感受,11,anxious,焦虑的,feel anxious
Day 18,新词,情感与感受,12,nervous,紧张的,be nervous about
Day 18,新词,情感与感受,13,upset,沮丧的,be upset with
Day 18,新词,情感与感受,14,disappointed,失望的,be disappointed in
Day 19,新词,情感与感受,15,frustrated,挫败的,feel frustrated
Day 19,新词,情感与感受,16,proud,自豪的,be proud of
Day 19,新词,情感与感受,17,embarrassed,尴尬的,feel embarrassed
Day 19,新词,情感与感受,18,jealous,嫉妒的,be jealous of
Day 19,新词,情感与感受,19,lonely,孤独的,feel lonely
Day 19,新词,情感与感受,20,bored,无聊的,be bored with
Day 19,新词,情感与感受,21,tired,疲倦的,feel tired
Day 19,新词,情感与感受,22,relaxed,放松的,feel relaxed
Day 19,新词,情感与感受,23,stressed,有压力的,be stressed out
Day 19,新词,情感与感受,24,calm,平静的,stay calm
Day 19,新词,情感与感受,25,confident,自信的,be confident in
Day 19,新词,情感与感受,26,kind,善良的,a kind man
Day 19,新词,情感与感受,27,friendly,友好的,be friendly to
Day 19,新词,情感与感受,28,polite,礼貌的,be polite to
Day 19,新词,情感与感受,29,rude,粗鲁的,don't be rude
Day 19,新词,情感与感受,30,patient,有耐心的,be patient with
Day 19,新词,情感与感受,31,honest,诚实的,be honest with
Day 19,新词,情感与感受,32,brave,勇敢的,a brave boy
Day 19,新词,情感与感受,33,shy,害羞的,be shy of
Day 19,新词,情感与感受,34,smart,聪明的,smart idea
Day 19,新词,情感与感受,35,clever,聪明的,a clever answer
Day 19,新词,情感与感受,36,stupid,愚蠢的,stupid mistake
Day 19,新词,情感与感受,37,foolish,愚蠢的,feel foolish
Day 19,新词,情感与感受,38,ashamed,羞愧的,feel ashamed
Day 19,新词,情感与感受,39,grateful,感激的,be grateful to
Day 20,复习,基础形容词复习,—,—,复习 86 词,看英文说中文
Day 20,复习,情感与感受复习,—,—,复习 39 词,看英文说中文
Day 20,复习,模糊词回炉,—,"用户标""模糊""词",逐个过,只过不熟的
Day 20,复习,易混词辨析,—,本周期易混词 1,辨析,形近/义近对比
Day 20,复习,易混词辨析,—,本周期易混词 2,辨析,形近/义近对比
Day 20,复习,听写测试,—,本周期 125 词,听写,家长报中文孩子写英文
Day 21,休息,—,—,—,休息,—
Day 22,新词,情感与感受,40,thankful,感谢的,be thankful for
Day 22,新词,情感与感受,41,like,喜欢,like doing
Day 22,新词,情感与感受,42,enjoy,享受；喜爱,enjoy doing
Day 22,新词,情感与感受,43,hate,厌恶；恨,hate to do
Day 22,新词,情感与感受,44,miss,想念,miss you
Day 22,新词,情感与感受,45,prefer,更喜欢,prefer ... to ...
Day 22,新词,情感与感受,46,smile,微笑,smile at
Day 22,新词,情感与感受,47,laugh,笑,laugh at
Day 22,新词,情感与感受,48,cry,哭,cry for
Day 22,新词,情感与感受,49,sigh,叹气,sigh with
Day 22,新词,情感与感受,50,friendship,友谊,strong friendship
Day 22,新词,情感与感受,51,love,爱,fell in love
Day 22,新词,情感与感受,52,trust,信任,trust in
Day 22,新词,情感与感受,53,respect,尊敬,respect ... for
Day 22,新词,情感与感受,54,feeling,感觉；感受,express feeling
Day 22,新词,情感与感受,55,emotion,情感；情绪,show emotion
Day 22,新词,情感与感受,56,mood,心情,in a good mood
Day 22,新词,情感与感受,57,kindness,善良,act with kindness
Day 22,新词,情感与感受,58,honesty,诚实,Honesty is the best policy
Day 22,新词,情感与感受,59,bravery,勇敢,a man of bravery
Day 22,新词,情感与感受,60,passion,激情；热情,full of passion
Day 22,新词,情感与感受,61,confident,自信的,feel confident
Day 22,新词,情感与感受,62,passion,激情；热情,full of passion
Day 22,新词,情感与感受,63,confident,自信的,feel confident
Day 22,新词,旅行与交通,1,travel,旅行,travel around the world
Day 23,新词,旅行与交通,2,trip,旅行；行程,a day trip
Day 23,新词,旅行与交通,3,journey,旅程；行程,a long journey
Day 23,新词,旅行与交通,4,voyage,航行；航海,on a voyage
Day 23,新词,旅行与交通,5,tour,旅游；巡回,on tour
Day 23,新词,旅行与交通,6,tourist,游客；观光客,a foreign tourist
Day 23,新词,旅行与交通,7,guide,导游；指南,a tour guide
Day 23,新词,旅行与交通,8,passport,护照,show one's passport
Day 23,新词,旅行与交通,9,visa,签证,apply for a visa
Day 23,新词,旅行与交通,10,ticket,票；券,a bus ticket
Day 23,新词,旅行与交通,11,airline,航空公司,an international airline
Day 23,新词,旅行与交通,12,flight,航班；飞行,flight number
Day 23,新词,旅行与交通,13,airport,机场,at the airport
Day 23,新词,旅行与交通,14,plane,飞机,by plane
Day 23,新词,旅行与交通,15,aircraft,飞机；航空器,an aircraft carrier
Day 23,新词,旅行与交通,16,helicopter,直升机,by helicopter
Day 23,新词,旅行与交通,17,ship,船；舰,by ship
Day 23,新词,旅行与交通,18,boat,小船；小舟,on a boat
Day 23,新词,旅行与交通,19,yacht,游艇；快艇,a sailing yacht
Day 23,新词,旅行与交通,20,ferry,渡船,by ferry
Day 23,新词,旅行与交通,21,subway,地铁,by subway
Day 23,新词,旅行与交通,22,train,火车；列车,by train
Day 23,新词,旅行与交通,23,station,车站；站,at the station
Day 23,新词,旅行与交通,24,bus,公共汽车,by bus
Day 23,新词,旅行与交通,25,coach,长途汽车,by coach
Day 23,新词,旅行与交通,26,taxi,出租车；的士,by taxi
Day 24,新词,旅行与交通,27,car,汽车；轿车,by car
Day 24,新词,旅行与交通,28,truck,卡车；货车,a heavy truck
Day 24,新词,旅行与交通,29,van,厢式货车；面包车,a delivery van
Day 24,新词,旅行与交通,30,bicycle,自行车；脚踏车,by bicycle
Day 24,新词,旅行与交通,31,bike,自行车；摩托车,ride a bike
Day 24,新词,旅行与交通,32,motorcycle,摩托车,by motorcycle
Day 24,新词,旅行与交通,33,scooter,滑板车；小型摩托车,ride a scooter
Day 24,新词,旅行与交通,34,wheel,车轮；轮子,a bicycle wheel
Day 24,新词,旅行与交通,35,road,路；道路,on the road
Day 24,新词,旅行与交通,36,street,街道；街,on the street
Day 24,新词,旅行与交通,37,avenue,大街；林荫道,on Fifth Avenue
Day 24,新词,旅行与交通,38,lane,小巷；车道,a fast lane
Day 24,新词,旅行与交通,39,bridge,桥,across a bridge
Day 24,新词,旅行与交通,40,tunnel,隧道；地下道,go through a tunnel
Day 24,新词,旅行与交通,41,highway,公路；干道,on the highway
Day 24,新词,旅行与交通,42,railway,铁路；铁道,by railway
Day 24,新词,旅行与交通,43,track,轨道；跑道,a railway track
Day 24,新词,旅行与交通,44,crossing,十字路口；人行横道,at the crossing
Day 24,新词,旅行与交通,45,traffic,交通；车流,traffic jam
Day 24,新词,旅行与交通,46,map,地图,a map of China
Day 24,新词,旅行与交通,47,compass,指南针,a magnetic compass
Day 24,新词,旅行与交通,48,direction,方向；指示,in this direction
